epoch,test/accuracy,train/accuracy
1,0.9404,0.8401833333333333
2,0.9606,0.9478333333333333
3,0.9726,0.9658166666666667
4,0.9778,0.9727833333333333
5,0.9818,0.9774666666666667
6,0.9813,0.9807
7,0.9838,0.9825
8,0.9856,0.9841
9,0.9846,0.9854333333333334
10,0.9863,0.98645
11,0.9866,0.98745
12,0.9858,0.98855
13,0.9867,0.9890833333333333
14,0.9884,0.9893833333333333
15,0.9882,0.9898
16,0.9869,0.9907833333333333
17,0.9875,0.99135
18,0.9885,0.9914833333333334
19,0.9879,0.9919333333333333
20,0.9891,0.9923333333333333
